library_id	assay	context	role	layout	final_total_alignments	final_mapped_alignments	properly_paired_fraction	frip_numerator	frip_denominator	frip	peak_count	atac_tss_enrichment	atac_fragments_counted	atac_median_fragment_length_bp	atac_fraction_lt150bp	atac_fraction_180_250bp	phantompeak_read_count	phantompeak_estimated_fragment_shifts_bp	phantompeak_nsc	phantompeak_rsc	phantompeak_quality_tag	atac_tss_profile	atac_fragment_histogram	phantompeak_cross_correlation_plot	multiqc_report	qc_decision	estimated_fragment_length_bp	notes
ab_atac_rep1	atac	ab	treatment	paired	27636982	27636982	1	6603517	13813457	0.47804955703702556	33800	1.02244	13818817	209	0.345897	0.1834						tss/ab_atac_rep1.profile.tsv	fragments/ab_atac_rep1.histogram.tsv		multiqc/multiqc_report.html	pass		
ab_atac_rep2	atac	ab	treatment	paired	31592248	31592248	1	7628384	15788428	0.483162984940616	32361	1.02244	15796654	256	0.2608	0.168356						tss/ab_atac_rep2.profile.tsv	fragments/ab_atac_rep2.histogram.tsv		multiqc/multiqc_report.html	pass		
ab_atac_rep3	atac	ab	treatment	paired	38128691	38128691	1	10359535	19056190	0.5436309671555541	36042	1.02244	19064813	218	0.32044	0.184502						tss/ab_atac_rep3.profile.tsv	fragments/ab_atac_rep3.histogram.tsv		multiqc/multiqc_report.html	pass		
e11_atac_rep1	atac	e11	treatment	paired	11032504	11032504	1	2706576	5515649	0.4907085276818739	25417	1.02244	5516347	138	0.538963	0.186942						tss/e11_atac_rep1.profile.tsv	fragments/e11_atac_rep1.histogram.tsv		multiqc/multiqc_report.html	pass		
e11_atac_rep2	atac	e11	treatment	paired	13782091	13782091	1	2740175	6888995	0.3977612119039134	22101	1.02244	6891082	205	0.367855	0.163828						tss/e11_atac_rep2.profile.tsv	fragments/e11_atac_rep2.histogram.tsv		multiqc/multiqc_report.html	pass		
e13_atac_rep1	atac	e13	treatment	paired	14581083	14581083	1	3996518	7289684	0.5482429691053824	31738	1.02244	7290652	139	0.538509	0.187394						tss/e13_atac_rep1.profile.tsv	fragments/e13_atac_rep1.histogram.tsv		multiqc/multiqc_report.html	pass		
e13_atac_rep2	atac	e13	treatment	paired	17888721	17888721	1	4146719	8941772	0.46374689491076265	30460	1.02244	8944366	188	0.411456	0.155563						tss/e13_atac_rep2.profile.tsv	fragments/e13_atac_rep2.histogram.tsv		multiqc/multiqc_report.html	pass		
e5_atac_rep1	atac	e5	treatment	paired	16179564	16179564	1	3495199	8088608	0.4321137827423458	27674	1.02244	8089945	167	0.443851	0.214122						tss/e5_atac_rep1.profile.tsv	fragments/e5_atac_rep1.histogram.tsv		multiqc/multiqc_report.html	pass		
e5_atac_rep2	atac	e5	treatment	paired	10053374	10053374	1	1938328	5025313	0.3857128899234734	21740	1.02244	5026757	216	0.330923	0.178768						tss/e5_atac_rep2.profile.tsv	fragments/e5_atac_rep2.histogram.tsv		multiqc/multiqc_report.html	pass		
ead_atac_rep2	atac	ead	treatment	paired	40458928	40458928	1	10865313	20219616	0.537364952924922	30635	1.02244	20229425	232	0.284821	0.187759						tss/ead_atac_rep2.profile.tsv	fragments/ead_atac_rep2.histogram.tsv		multiqc/multiqc_report.html	pass		
ead_atac_rep3	atac	ead	treatment	paired	59579849	59579849	1	16593408	29774486	0.5573029203593977	33504	1.02244	29789726	248	0.259862	0.180908						tss/ead_atac_rep3.profile.tsv	fragments/ead_atac_rep3.histogram.tsv		multiqc/multiqc_report.html	pass		
ead_atac_rep4	atac	ead	treatment	paired	48459307	48459307	1	13338082	24217523	0.5507616117469982	31111	1.02244	24229682	237	0.281265	0.181092						tss/ead_atac_rep4.profile.tsv	fragments/ead_atac_rep4.histogram.tsv		multiqc/multiqc_report.html	pass		
hid_atac_rep1	atac	hid	treatment	paired	21492404	21492404	1	5312142	10744408	0.4944099293325421	30368	1.02244	10746247	117	0.583064	0.174252						tss/hid_atac_rep1.profile.tsv	fragments/hid_atac_rep1.histogram.tsv		multiqc/multiqc_report.html	pass		
hid_atac_rep2	atac	hid	treatment	paired	27056599	27056599	1	6566151	13526205	0.48543926400642307	37154	1.02244	13528362	105	0.614402	0.156741						tss/hid_atac_rep2.profile.tsv	fragments/hid_atac_rep2.histogram.tsv		multiqc/multiqc_report.html	pass		
lb_atac_rep1	atac	lb	treatment	paired	44586617	44586617	1	13054608	22291132	0.5856413214008154	40310	1.02244	22293481	95	0.637203	0.125256						tss/lb_atac_rep1.profile.tsv	fragments/lb_atac_rep1.histogram.tsv		multiqc/multiqc_report.html	pass		
lb_atac_rep2	atac	lb	treatment	paired	44591495	44591495	1	14154977	22293353	0.634941589988729	38472	1.02244	22295878	103	0.613415	0.131203						tss/lb_atac_rep2.profile.tsv	fragments/lb_atac_rep2.histogram.tsv		multiqc/multiqc_report.html	pass		
lb_atac_rep3	atac	lb	treatment	paired	40513355	40513355	1	12758055	20254346	0.6298922216496153	36812	1.02244	20256852	99	0.623682	0.127323						tss/lb_atac_rep3.profile.tsv	fragments/lb_atac_rep3.histogram.tsv		multiqc/multiqc_report.html	pass		
o_atac_rep1	atac	o	treatment	paired	41609595	41609595	1	9860420	20792421	0.4742314519314514	24868	1.02244	20804908	286	0.208084	0.176869						tss/o_atac_rep1.profile.tsv	fragments/o_atac_rep1.histogram.tsv		multiqc/multiqc_report.html	pass		
o_atac_rep2	atac	o	treatment	paired	56522618	56522618	1	14420125	28244893	0.5105391972984284	27873	1.02244	28261519	267	0.246223	0.169247						tss/o_atac_rep2.profile.tsv	fragments/o_atac_rep2.histogram.tsv		multiqc/multiqc_report.html	pass		
o_atac_rep3	atac	o	treatment	paired	69498854	69498854	1	17566099	34731055	0.5057749901349096	31072	1.02244	34749779	245	0.28772	0.167153						tss/o_atac_rep3.profile.tsv	fragments/o_atac_rep3.histogram.tsv		multiqc/multiqc_report.html	pass		
wid_atac_rep1	atac	wid	treatment	paired	41443081	41443081	1	11252015	20716769	0.5431356115425142	28188	1.02244	20721339	217	0.285523	0.235616						tss/wid_atac_rep1.profile.tsv	fragments/wid_atac_rep1.histogram.tsv		multiqc/multiqc_report.html	pass		
wid_atac_rep2	atac	wid	treatment	paired	46093267	46093267	1	12459106	23042185	0.540708530896701	29967	1.02244	23046537	178	0.429368	0.202807						tss/wid_atac_rep2.profile.tsv	fragments/wid_atac_rep2.histogram.tsv		multiqc/multiqc_report.html	pass		
