library_id	assay	context	role	layout	bam	bai	genome	filtering_contract	bam_sha256	bai_sha256	qc_status	estimated_fragment_length_bp	source_project	source_run_id	notes
ab_atac_rep1	atac	ab	treatment	paired	../../results/atlas-atac-dm6/imported-final-bams/bam/ab_atac_rep1.final.bam	../../results/atlas-atac-dm6/imported-final-bams/bam/ab_atac_rep1.final.bam.bai	dm6	short-read-processing-final-v1	bb5bca49cc86c8128506fdc98045bf607ea2cfb050808a11977e004c94a49f94	ef710d1e7ae15ec7a5a66a931e584d8cf0b6ba4911c33203c4f87df59eaff248	accepted		atlas-atac-dm6	imported-final-bams	
ab_atac_rep2	atac	ab	treatment	paired	../../results/atlas-atac-dm6/imported-final-bams/bam/ab_atac_rep2.final.bam	../../results/atlas-atac-dm6/imported-final-bams/bam/ab_atac_rep2.final.bam.bai	dm6	short-read-processing-final-v1	f6fd0a459270eda8deca0b328635f2c0b22b0d46d93404649397acb38e7f7922	540a2d564edec0e30bf9902caad08c122ef3befaa363a1376fa15aec3d992e74	accepted		atlas-atac-dm6	imported-final-bams	
ab_atac_rep3	atac	ab	treatment	paired	../../results/atlas-atac-dm6/imported-final-bams/bam/ab_atac_rep3.final.bam	../../results/atlas-atac-dm6/imported-final-bams/bam/ab_atac_rep3.final.bam.bai	dm6	short-read-processing-final-v1	b6e6ff3c12691d58766d9712280f35d0f9030375a7cde064b41a444a9632e1ff	152bcb3b1b52fd6ee14b34420cbc101ed8c8f0ad9ccf01f43c577c14dc63cf55	accepted		atlas-atac-dm6	imported-final-bams	
e11_atac_rep1	atac	e11	treatment	paired	../../results/atlas-atac-dm6/imported-final-bams/bam/e11_atac_rep1.final.bam	../../results/atlas-atac-dm6/imported-final-bams/bam/e11_atac_rep1.final.bam.bai	dm6	short-read-processing-final-v1	d6536043a02cbf0cee789198aacbccdf0fa8b546dd332af54025a6ae18f7981c	8eb2cbcc203afbcc2f4983c4887e1650f9ea5fce1fcbdf64db78f41e068efc35	accepted		atlas-atac-dm6	imported-final-bams	
e11_atac_rep2	atac	e11	treatment	paired	../../results/atlas-atac-dm6/imported-final-bams/bam/e11_atac_rep2.final.bam	../../results/atlas-atac-dm6/imported-final-bams/bam/e11_atac_rep2.final.bam.bai	dm6	short-read-processing-final-v1	918cd53e9dd01148de776b5a56eac251fe5a01cc7a0b2d5b2a2e95d53d41ba76	5950dcc0974ac29270a446c662f848374e77e1b0227b8b3ab777d7cc6ca5ae07	accepted		atlas-atac-dm6	imported-final-bams	
e13_atac_rep1	atac	e13	treatment	paired	../../results/atlas-atac-dm6/imported-final-bams/bam/e13_atac_rep1.final.bam	../../results/atlas-atac-dm6/imported-final-bams/bam/e13_atac_rep1.final.bam.bai	dm6	short-read-processing-final-v1	83224dc169bf9c4570313dcdacd16369a5fe7c8e81d108d1a9914f5ab5327e3c	385c411b5f8b3385b31767f1837b6d5d6834682b808a93ff135687a84dc76f34	accepted		atlas-atac-dm6	imported-final-bams	
e13_atac_rep2	atac	e13	treatment	paired	../../results/atlas-atac-dm6/imported-final-bams/bam/e13_atac_rep2.final.bam	../../results/atlas-atac-dm6/imported-final-bams/bam/e13_atac_rep2.final.bam.bai	dm6	short-read-processing-final-v1	53d817c97b3b6447e53d9ca2c8a60ddb1f43b0677d24ef69a05f388febbaccbf	864b4b0dd91af7dbaaf543b29b9a02178f56cfc0ab09755ff9b18316aa4daa86	accepted		atlas-atac-dm6	imported-final-bams	
e5_atac_rep1	atac	e5	treatment	paired	../../results/atlas-atac-dm6/imported-final-bams/bam/e5_atac_rep1.final.bam	../../results/atlas-atac-dm6/imported-final-bams/bam/e5_atac_rep1.final.bam.bai	dm6	short-read-processing-final-v1	d247b6972e6119fe7adcd063d16df5ade2d2c51ec378992ea638fbd6b8014cd9	5a0f62273a954aaf72ea612a27298538668e99c5bdf7df3d8329c9cf1c64b76d	accepted		atlas-atac-dm6	imported-final-bams	
e5_atac_rep2	atac	e5	treatment	paired	../../results/atlas-atac-dm6/imported-final-bams/bam/e5_atac_rep2.final.bam	../../results/atlas-atac-dm6/imported-final-bams/bam/e5_atac_rep2.final.bam.bai	dm6	short-read-processing-final-v1	df696a94898c385f93ec350565af455b70954323bf2f711a66e2516c78c6fa06	5e5c9caef7bcc382c7a32f4ef2fa1da86f5e207cf9d90b47fc31708816f590d5	accepted		atlas-atac-dm6	imported-final-bams	
ead_atac_rep2	atac	ead	treatment	paired	../../results/atlas-atac-dm6/imported-final-bams/bam/ead_atac_rep2.final.bam	../../results/atlas-atac-dm6/imported-final-bams/bam/ead_atac_rep2.final.bam.bai	dm6	short-read-processing-final-v1	839dc10787cf62e616681a128e132231937bbd06016b35c0d04b8315af3b9284	42a23fa8eb8bd320439a04f9c776b4354a9cfc2a7fb664831340b3bdb3cefa86	accepted		atlas-atac-dm6	imported-final-bams	
ead_atac_rep3	atac	ead	treatment	paired	../../results/atlas-atac-dm6/imported-final-bams/bam/ead_atac_rep3.final.bam	../../results/atlas-atac-dm6/imported-final-bams/bam/ead_atac_rep3.final.bam.bai	dm6	short-read-processing-final-v1	06fb379bbf391cc71eea5624628ec88662a14a3e078f9720ea94b35433626ec9	c098225358be1c6c3f20678fa7e3277775301d850f6c3871c31f6a10c4501b91	accepted		atlas-atac-dm6	imported-final-bams	
ead_atac_rep4	atac	ead	treatment	paired	../../results/atlas-atac-dm6/imported-final-bams/bam/ead_atac_rep4.final.bam	../../results/atlas-atac-dm6/imported-final-bams/bam/ead_atac_rep4.final.bam.bai	dm6	short-read-processing-final-v1	cd450e638c9bc538babfd6b96ffe7a2c56445aeefc546274b1ab8671b390b93c	1bdcb47d10132a7ec8eec2cc63aa060192db76cc7bf492e1b350010f98f8dea3	accepted		atlas-atac-dm6	imported-final-bams	
hid_atac_rep1	atac	hid	treatment	paired	../../results/atlas-atac-dm6/imported-final-bams/bam/hid_atac_rep1.final.bam	../../results/atlas-atac-dm6/imported-final-bams/bam/hid_atac_rep1.final.bam.bai	dm6	short-read-processing-final-v1	b8fb96a76778343538d87b83720c8bbfb6e3bb24c49e2ccc653c5a30f833e896	2d757c5da4b06cc8aee1f5a3c9e41075489ff06fbd0eb6c229b9f641d59e0093	accepted		atlas-atac-dm6	imported-final-bams	
hid_atac_rep2	atac	hid	treatment	paired	../../results/atlas-atac-dm6/imported-final-bams/bam/hid_atac_rep2.final.bam	../../results/atlas-atac-dm6/imported-final-bams/bam/hid_atac_rep2.final.bam.bai	dm6	short-read-processing-final-v1	cd8fc35c1de35a9f79de9ae3a3331d4e0c3e2138669be35475f7fa6d5be5fb63	d7b6c1e641200aeada11086be87a04d1fa8408a7067f04cb683c93eaf63b3013	accepted		atlas-atac-dm6	imported-final-bams	
