library_id	assay	context	role	layout	final_total_alignments	final_mapped_alignments	properly_paired_fraction	frip_numerator	frip_denominator	frip	peak_count	atac_tss_enrichment	atac_fragments_counted	atac_median_fragment_length_bp	atac_fraction_lt150bp	atac_fraction_180_250bp	phantompeak_read_count	phantompeak_estimated_fragment_shifts_bp	phantompeak_nsc	phantompeak_rsc	phantompeak_quality_tag	atac_tss_profile	atac_fragment_histogram	phantompeak_cross_correlation_plot	multiqc_report	qc_decision	estimated_fragment_length_bp	notes
ab_h3k27ac_rep1	chip_histone	ab	treatment	single	11442039	11442039	0	4203057	11442039	0.36733461579706206	16042						11442039	165,705,800	1.07273	1.52426	2			chip/ab_h3k27ac_rep1.cross_correlation.pdf	multiqc/multiqc_report.html	pass	165	Accepted after review of alignment, FRiP, cross-correlation, and signal profile; primary phantompeakqualtools estimate recorded.
e11_h3k27ac_rep1	chip_histone	e11	treatment	paired	6329166	6329166	1	604494	3163912	0.19105904336150942	6311						6329166	170,180,435	1.04326	1.34924	1			chip/e11_h3k27ac_rep1.cross_correlation.pdf	multiqc/multiqc_report.html	pass		Accepted after review of alignment, FRiP, cross-correlation, and signal profile.
e11_h3k27ac_rep2	chip_histone	e11	treatment	paired	6353591	6353591	1	727956	3176140	0.22919518661016203	7034						6353591	155,165,425	1.05652	1.30029	1			chip/e11_h3k27ac_rep2.cross_correlation.pdf	multiqc/multiqc_report.html	pass		Accepted after review of alignment, FRiP, cross-correlation, and signal profile.
e13_h3k27ac_rep1	chip_histone	e13	treatment	paired	3235625	3235625	1	195751	1617532	0.12101831679373268	4231						3235625	150,160,170	1.05533	1.39153	1			chip/e13_h3k27ac_rep1.cross_correlation.pdf	multiqc/multiqc_report.html	pass		Accepted after review of alignment, FRiP, cross-correlation, and signal profile.
e13_h3k27ac_rep2	chip_histone	e13	treatment	paired	4898935	4898935	1	427922	2449074	0.17472808089914801	6272						4898935	140,415,425	1.06033	1.27402	1			chip/e13_h3k27ac_rep2.cross_correlation.pdf	multiqc/multiqc_report.html	pass		Accepted after review of alignment, FRiP, cross-correlation, and signal profile.
e5_h3k27ac_rep1	chip_histone	e5	treatment	paired	2442700	2442700	1	121707	1221229	0.0996594414315415	3563						2442700	115,300,310	1.08634	1.12519	1			chip/e5_h3k27ac_rep1.cross_correlation.pdf	multiqc/multiqc_report.html	pass		Accepted with low-end FRiP noted; alignment, cross-correlation, and replicate evidence remain usable.
e5_h3k27ac_rep2	chip_histone	e5	treatment	paired	5101149	5101149	1	472552	2550101	0.1853071701865926	5762						5101149	160,170,450	1.0488	1.33567	1			chip/e5_h3k27ac_rep2.cross_correlation.pdf	multiqc/multiqc_report.html	pass		Accepted after review of alignment, FRiP, cross-correlation, and signal profile.
ead_h3k27ac_rep1	chip_histone	ead	treatment	single	7385995	7385995	0	1909140	7385995	0.2584810848098327	13471						7385995	155,445,530	1.04547	1.10045	1			chip/ead_h3k27ac_rep1.cross_correlation.pdf	multiqc/multiqc_report.html	pass	155	Accepted after review of alignment, FRiP, cross-correlation, and signal profile; primary phantompeakqualtools estimate recorded.
hid_h3k27ac_rep1	chip_histone	hid	treatment	single	1699893	1699893	0	834536	1699893	0.4909344294023212	8764						1699893	215,225,250	1.31616	1.96698	2			chip/hid_h3k27ac_rep1.cross_correlation.pdf	multiqc/multiqc_report.html	pass	215	Accepted after review of alignment, FRiP, cross-correlation, and signal profile; primary phantompeakqualtools estimate recorded.
hid_h3k27ac_rep2	chip_histone	hid	treatment	single	4104217	4104217	0	1876658	4104217	0.457251163863899	11188						4104217	175,185,355	1.17907	1.54429	2			chip/hid_h3k27ac_rep2.cross_correlation.pdf	multiqc/multiqc_report.html	pass	175	Accepted after review of alignment, FRiP, cross-correlation, and signal profile; primary phantompeakqualtools estimate recorded.
lb_h3k27ac_rep1	chip_histone	lb	treatment	single	28428345	28428345	0	9632019	28428345	0.33881743731476455	21577						28428345	155,770,940	1.03204	1.09862	1			chip/lb_h3k27ac_rep1.cross_correlation.pdf	multiqc/multiqc_report.html	pass	155	Accepted after review of alignment, FRiP, cross-correlation, and signal profile; primary phantompeakqualtools estimate recorded.
lb_h3k27ac_rep2	chip_histone	lb	treatment	single	18297142	18297142	0	5752379	18297142	0.31438674958089086	17329						18297142	160,595,770	1.04422	1.22959	1			chip/lb_h3k27ac_rep2.cross_correlation.pdf	multiqc/multiqc_report.html	pass	160	Accepted after review of alignment, FRiP, cross-correlation, and signal profile; primary phantompeakqualtools estimate recorded.
o_h3k27ac_rep1	chip_histone	o	treatment	single	4907649	4907649	0	2786279	4907649	0.567742110326146	7907						4907649	155	1.4406	1.13935	1			chip/o_h3k27ac_rep1.cross_correlation.pdf	multiqc/multiqc_report.html	pass	155	Accepted after review of alignment, FRiP, cross-correlation, and signal profile; primary phantompeakqualtools estimate recorded.
wid_h3k27ac_rep1	chip_histone	wid	treatment	single	744436	744436	0	307551	744436	0.41313289523881164	6458						744436	380,400,410	1.24691	2.25125	2			chip/wid_h3k27ac_rep1.cross_correlation.pdf	multiqc/multiqc_report.html	fail	380	Rejected after QC review: only 744436 mapped reads and a discordant 380-bp primary fragment estimate versus 170 bp in replicate 2; retained in manifest for provenance.
wid_h3k27ac_rep2	chip_histone	wid	treatment	single	3004121	3004121	0	1450403	3004121	0.48280445428130225	10948						3004121	170	1.24284	1.61032	2			chip/wid_h3k27ac_rep2.cross_correlation.pdf	multiqc/multiqc_report.html	pass	170	Accepted as the sole H3K27ac library for wid after replicate 1 rejection; primary phantompeakqualtools estimate recorded.
