library_id	assay	context	role	layout	bam	bai	genome	filtering_contract	bam_sha256	bai_sha256	qc_status	estimated_fragment_length_bp	source_project	source_run_id	notes
ab_h3k27ac_rep1	chip_histone	ab	treatment	single	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/ab_h3k27ac_rep1.final.bam	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/ab_h3k27ac_rep1.final.bam.bai	dm6	short-read-processing-final-v1	fdfbaffebfc98b9b3d6df19d36dfa127d6773d64cec44946a775ae83812eb038	168002b4acc59715b8fe808d8c4eb5e6d72372a6c790faac5eacb4ff688a3f29	accepted	165	atlas-h3k27ac-dm6	macs3-broad-ip-only	Accepted after review of alignment, FRiP, cross-correlation, and signal profile; primary phantompeakqualtools estimate recorded.
e11_h3k27ac_rep1	chip_histone	e11	treatment	paired	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/e11_h3k27ac_rep1.final.bam	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/e11_h3k27ac_rep1.final.bam.bai	dm6	short-read-processing-final-v1	ce1491ebd927b4310279e27cef27b15991e7fa4cad81f34e0f3c316d56f38ecc	484aa2609a7111523d7dabda573646942ee62100103de01d7c57ad07c88d08c2	accepted		atlas-h3k27ac-dm6	macs3-broad-ip-only	Accepted after review of alignment, FRiP, cross-correlation, and signal profile.
e11_h3k27ac_rep2	chip_histone	e11	treatment	paired	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/e11_h3k27ac_rep2.final.bam	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/e11_h3k27ac_rep2.final.bam.bai	dm6	short-read-processing-final-v1	6a7a0f53c88b0d14bc21ae3b6d32c81e067b637a503fb99801c5954b7682887e	28f6a5a5f1f3118fd69d6d18abde542374ceabb26fcff453f87c44f46f17dd8f	accepted		atlas-h3k27ac-dm6	macs3-broad-ip-only	Accepted after review of alignment, FRiP, cross-correlation, and signal profile.
e13_h3k27ac_rep1	chip_histone	e13	treatment	paired	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/e13_h3k27ac_rep1.final.bam	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/e13_h3k27ac_rep1.final.bam.bai	dm6	short-read-processing-final-v1	761994a5fd71eda020d7d63b5fd33724ed19c8b50c6a99a3696a3a4e33d38ed4	c5c634fabb58debc278cd3c3d469d77127ea7f63c8b0342cf75bb99b4d31270e	accepted		atlas-h3k27ac-dm6	macs3-broad-ip-only	Accepted after review of alignment, FRiP, cross-correlation, and signal profile.
e13_h3k27ac_rep2	chip_histone	e13	treatment	paired	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/e13_h3k27ac_rep2.final.bam	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/e13_h3k27ac_rep2.final.bam.bai	dm6	short-read-processing-final-v1	e1b488506bcdc4b2cf17a23b4c7808034f409b206cbca0917466dca89df74b95	29a0c54dbaf821e41ee5932a92103d9239b04954e7330723c931e9641a47103f	accepted		atlas-h3k27ac-dm6	macs3-broad-ip-only	Accepted after review of alignment, FRiP, cross-correlation, and signal profile.
e5_h3k27ac_rep1	chip_histone	e5	treatment	paired	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/e5_h3k27ac_rep1.final.bam	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/e5_h3k27ac_rep1.final.bam.bai	dm6	short-read-processing-final-v1	b543139e4b9ed934ea4fe3dcc4a210c2594e2beba911b402044c36fa0b8abc60	5bc91c13d861ba5a4fbf846cd7ebe153dd9360da33405e13a3d93fa235bc8000	accepted		atlas-h3k27ac-dm6	macs3-broad-ip-only	Accepted with low-end FRiP noted; alignment, cross-correlation, and replicate evidence remain usable.
e5_h3k27ac_rep2	chip_histone	e5	treatment	paired	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/e5_h3k27ac_rep2.final.bam	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/e5_h3k27ac_rep2.final.bam.bai	dm6	short-read-processing-final-v1	439005b98154c1667f1183084499c7e1a6c14d502923ae18b0b6343fd0df1afb	5e5d7cf9805df2fe5abc5f79832ec903ba489303f43561533c345581964309bc	accepted		atlas-h3k27ac-dm6	macs3-broad-ip-only	Accepted after review of alignment, FRiP, cross-correlation, and signal profile.
ead_h3k27ac_rep1	chip_histone	ead	treatment	single	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/ead_h3k27ac_rep1.final.bam	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/ead_h3k27ac_rep1.final.bam.bai	dm6	short-read-processing-final-v1	19f583387efbc45f052c81ebb8ab0b067d2361b54903bec2eee77e88369cb9a1	431df5f1f1680be78b9e9e5b601baab0a03de2e337a6b896add7dbbbd664e153	accepted	155	atlas-h3k27ac-dm6	macs3-broad-ip-only	Accepted after review of alignment, FRiP, cross-correlation, and signal profile; primary phantompeakqualtools estimate recorded.
hid_h3k27ac_rep1	chip_histone	hid	treatment	single	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/hid_h3k27ac_rep1.final.bam	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/hid_h3k27ac_rep1.final.bam.bai	dm6	short-read-processing-final-v1	1b973621591dfab1ea8f9b2fb63d5131b92df166ae45a225de76032b854b15ea	f5bb801596292004e4a5f8a239a6d3b9fc9d4ea8993312353c87ceb9b68224a9	accepted	215	atlas-h3k27ac-dm6	macs3-broad-ip-only	Accepted after review of alignment, FRiP, cross-correlation, and signal profile; primary phantompeakqualtools estimate recorded.
hid_h3k27ac_rep2	chip_histone	hid	treatment	single	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/hid_h3k27ac_rep2.final.bam	../../results/atlas-h3k27ac-dm6/macs3-broad-ip-only/bam/hid_h3k27ac_rep2.final.bam.bai	dm6	short-read-processing-final-v1	f97806e9cf4ec5fc0fed733d4ed27bd8beedbfc418400fa70bad08ad35bac19b	9cff2b5b21d993b52a3d274918d2d160284d3f7acd60181c4e5b9a6f777eb3fc	accepted	175	atlas-h3k27ac-dm6	macs3-broad-ip-only	Accepted after review of alignment, FRiP, cross-correlation, and signal profile; primary phantompeakqualtools estimate recorded.
