source_id	context	assay	replicate	format	url	local_path	checksum	match_quality	biological_context	caveat
e5_b1_t1	e5	Micro-C	bio1-tech1	mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229629/suppl/GSM8229629_nc14_1_1.base_resolution_100.mcool	data/raw/contacts/e5_b1_t1.mcool		stage_matched_whole_embryo	whole embryo NC14	NC14 is a stage-5 proxy.
e5_b1_t2	e5	Micro-C	bio1-tech2	mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229630/suppl/GSM8229630_nc14_1_2.base_resolution_100.mcool	data/raw/contacts/e5_b1_t2.mcool		stage_matched_whole_embryo	whole embryo NC14	NC14 is a stage-5 proxy.
e5_b2_t1	e5	Micro-C	bio2-tech1	mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229631/suppl/GSM8229631_nc14_2_1.base_resolution_100.mcool	data/raw/contacts/e5_b2_t1.mcool		stage_matched_whole_embryo	whole embryo NC14	NC14 is a stage-5 proxy.
e5_b2_t2	e5	Micro-C	bio2-tech2	mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229632/suppl/GSM8229632_nc14_2_2.base_resolution_100.mcool	data/raw/contacts/e5_b2_t2.mcool		stage_matched_whole_embryo	whole embryo NC14	NC14 is a stage-5 proxy.
e11_b1_t1	e11	Micro-C	bio1-tech1	mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229633/suppl/GSM8229633_s10-12_1_1.base_resolution_100.mcool	data/raw/contacts/e11_b1_t1.mcool		stage_matched_whole_embryo	whole embryo stages 10-12	
e11_b1_t2	e11	Micro-C	bio1-tech2	mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229634/suppl/GSM8229634_s10-12_1_2.base_resolution_100.mcool	data/raw/contacts/e11_b1_t2.mcool		stage_matched_whole_embryo	whole embryo stages 10-12	
e11_b2_t1	e11	Micro-C	bio2-tech1	mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229635/suppl/GSM8229635_s10-12_2_1.base_resolution_100.mcool	data/raw/contacts/e11_b2_t1.mcool		stage_matched_whole_embryo	whole embryo stages 10-12	
e11_b2_t2	e11	Micro-C	bio2-tech2	mcool	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8229nnn/GSM8229636/suppl/GSM8229636_s10-12_2_2.base_resolution_100.mcool	data/raw/contacts/e11_b2_t2.mcool		stage_matched_whole_embryo	whole embryo stages 10-12	
ead_merged	ead	Micro-C	merged4	mcool	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE310nnn/GSE310299/suppl/GSE310299_microc_contacts_ED_Control_merge_all_dm6_BeS.mcool	data/raw/contacts/ead_merged.mcool		tissue_matched_merged	eye disc control	Source already merges four samples.
wid_merged	wid	Micro-C	merged4	mcool	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE310nnn/GSE310299/suppl/GSE310299_microc_contacts_WD_WT_merge_all_dm6_BeS.mcool	data/raw/contacts/wid_merged.mcool		tissue_matched_merged	wing disc WT	Source already merges four samples.
lb_rep1	lb	Micro-C	rep1	cool.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7113nnn/GSM7113848/suppl/GSM7113848_larval_CNS1.cool.gz	data/raw/contacts/lb_rep1.cool.gz		tissue_and_stage_matched	third-instar larval CNS	
lb_rep2	lb	Micro-C	rep2	cool.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7113nnn/GSM7113849/suppl/GSM7113849_larval_CNS2.cool.gz	data/raw/contacts/lb_rep2.cool.gz		tissue_and_stage_matched	third-instar larval CNS	
ab_rep1	ab	Micro-C	rep1	cool.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7113nnn/GSM7113850/suppl/GSM7113850_adult_CNS1.cool.gz	data/raw/contacts/ab_rep1.cool.gz		tissue_and_stage_matched	adult CNS	
ab_rep2	ab	Micro-C	rep2	cool.gz	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7113nnn/GSM7113851/suppl/GSM7113851_adult_CNS2.cool.gz	data/raw/contacts/ab_rep2.cool.gz		tissue_and_stage_matched	adult CNS	
o_rep1	o	Hi-C	rep1	h5	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7291nnn/GSM7291132/suppl/GSM7291132_WT_ovaries_1_8st_Hi-C.h5	data/raw/contacts/o_rep1.h5		whole_ovary_stage_subset	ovaries with egg-chamber stages 1-8	Contact assay is Hi-C at native 4-kb resolution; ATAC includes a broader age/stage range.
o_rep2	o	Hi-C	rep2	h5	https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM8037nnn/GSM8037011/suppl/GSM8037011_WT_ovaries_1_8st_rep2_Hi-C.h5	data/raw/contacts/o_rep2.h5		whole_ovary_stage_subset	ovaries with egg-chamber stages 1-8	Contact assay is Hi-C at native 4-kb resolution; ATAC includes a broader age/stage range.
